article_id,article_version,last_updated,r_ncd_id,r_ncd_version,related_num,source_article_id,url
52438,22,04/29/2025,0,1,1,52438,/data/ncd?ncdid=0&ncdver=1
56453,12,04/29/2025,0,1,1,56453,/data/ncd?ncdid=0&ncdver=1
59374,14,04/29/2025,0,1,1,59374,/data/ncd?ncdid=0&ncdver=1
57473,33,04/29/2025,155,1,1,57473,/data/ncd?ncdid=155&ncdver=1
57473,33,04/29/2025,266,1,2,57473,/data/ncd?ncdid=266&ncdver=1
57473,33,04/29/2025,187,1,3,57473,/data/ncd?ncdid=187&ncdver=1
57473,33,04/29/2025,161,1,4,57473,/data/ncd?ncdid=161&ncdver=1
59480,10,04/29/2025,0,1,1,59480,/data/ncd?ncdid=0&ncdver=1
57599,14,04/29/2025,0,1,1,57599,/data/ncd?ncdid=0&ncdver=1
57593,17,04/29/2025,165,1,1,57593,/data/ncd?ncdid=165&ncdver=1
57593,17,04/29/2025,164,1,2,57593,/data/ncd?ncdid=164&ncdver=1
57593,17,04/29/2025,263,1,3,57593,/data/ncd?ncdid=263&ncdver=1
57593,17,07/16/2025,204,2,4,57593,/data/ncd?ncdid=204&ncdver=2
59849,8,04/29/2025,0,1,1,59849,/data/ncd?ncdid=0&ncdver=1
57483,28,04/29/2025,261,1,1,57483,/data/ncd?ncdid=261&ncdver=1
59908,6,05/30/2025,0,1,1,59908,/data/ncd?ncdid=0&ncdver=1
59261,7,04/29/2025,0,1,1,59261,/data/ncd?ncdid=0&ncdver=1
56119,35,04/29/2025,0,1,1,56119,/data/ncd?ncdid=0&ncdver=1
56124,32,04/29/2025,0,1,1,56124,/data/ncd?ncdid=0&ncdver=1
56900,23,04/29/2025,0,1,1,56900,/data/ncd?ncdid=0&ncdver=1
57559,20,04/29/2025,102,1,1,57559,/data/ncd?ncdid=102&ncdver=1
56232,34,04/29/2025,171,1,1,56232,/data/ncd?ncdid=171&ncdver=1
59434,19,04/29/2025,0,1,1,59434,/data/ncd?ncdid=0&ncdver=1
57478,40,04/29/2025,270,1,1,57478,/data/ncd?ncdid=270&ncdver=1
57597,22,04/29/2025,270,1,1,57597,/data/ncd?ncdid=270&ncdver=1
53024,22,04/29/2025,0,1,1,53024,/data/ncd?ncdid=0&ncdver=1
57913,11,04/29/2025,0,1,1,57913,/data/ncd?ncdid=0&ncdver=1
59819,18,04/29/2025,370,1,1,59819,/data/ncd?ncdid=370&ncdver=1
53322,16,04/29/2025,0,1,1,53322,/data/ncd?ncdid=0&ncdver=1
54635,31,04/29/2025,0,1,1,54635,/data/ncd?ncdid=0&ncdver=1
55584,19,04/29/2025,0,1,1,55584,/data/ncd?ncdid=0&ncdver=1
59657,9,04/29/2025,360,1,1,59657,/data/ncd?ncdid=360&ncdver=1
55754,22,04/29/2025,269,1,1,55754,/data/ncd?ncdid=269&ncdver=1
55215,9,04/29/2025,253,1,1,55215,/data/ncd?ncdid=253&ncdver=1
59752,4,04/29/2025,0,1,1,59752,/data/ncd?ncdid=0&ncdver=1
55478,12,04/29/2025,0,1,1,55478,/data/ncd?ncdid=0&ncdver=1
52474,40,04/29/2025,0,1,1,52474,/data/ncd?ncdid=0&ncdver=1
52510,61,04/29/2025,0,1,1,52510,/data/ncd?ncdid=0&ncdver=1
56684,17,04/29/2025,0,1,1,56684,/data/ncd?ncdid=0&ncdver=1
59847,8,04/29/2025,0,1,1,59847,/data/ncd?ncdid=0&ncdver=1
52463,32,04/29/2025,0,1,1,52463,/data/ncd?ncdid=0&ncdver=1
52494,63,04/29/2025,0,1,1,52494,/data/ncd?ncdid=0&ncdver=1
57196,22,04/29/2025,9,1,1,57196,/data/ncd?ncdid=9&ncdver=1
57201,8,04/29/2025,15,1,1,57201,/data/ncd?ncdid=15&ncdver=1
52462,32,04/29/2025,0,1,1,52462,/data/ncd?ncdid=0&ncdver=1
57513,16,04/29/2025,0,1,1,57513,/data/ncd?ncdid=0&ncdver=1
57644,17,04/29/2025,0,1,1,57644,/data/ncd?ncdid=0&ncdver=1
57698,14,04/29/2025,226,1,1,57698,/data/ncd?ncdid=226&ncdver=1
57698,14,04/29/2025,330,1,2,57698,/data/ncd?ncdid=330&ncdver=1
