article_id,article_version,last_updated,r_article_id,r_article_version,r_contractor_id,r_lcd_id,r_lcd_version,related_num,url
57826,37,06/03/2024,,,297,35936,59,1,/data/lcd?lcdid=35936&ver=59
58152,13,09/02/2020,,,297,38667,4,1,/data/lcd?lcdid=38667&ver=4
58294,8,02/18/2021,,,297,38571,9,1,/data/lcd?lcdid=38571&ver=9
58294,8,09/22/2021,,,297,39122,3,2,/data/lcd?lcdid=39122&ver=3
58745,21,10/15/2021,,,297,39036,24,1,/data/lcd?lcdid=39036&ver=24
52849,36,04/02/2014,,,297,33585,34,1,/data/lcd?lcdid=33585&ver=34
52850,56,04/02/2014,,,297,33557,48,1,/data/lcd?lcdid=33557&ver=48
56544,28,07/25/2019,,,297,33558,33,1,/data/lcd?lcdid=33558&ver=33
56544,28,05/21/2024,,,297,39826,6,2,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39826:5
56609,18,09/06/2022,,,297,37733,23,1,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=37733:18
56737,31,02/02/2022,,,297,33559,29,1,/data/lcd?lcdid=33559&ver=29
56743,26,07/25/2019,,,297,33560,36,1,/data/lcd?lcdid=33560&ver=36
56826,12,11/01/2019,,,297,33573,25,1,/data/lcd?lcdid=33573&ver=25
57024,16,06/16/2015,54403,2,269,,,1,/data/article?articleid=54403&ver=2
57024,16,09/05/2019,,,297,36236,18,2,/data/lcd?lcdid=36236&ver=18
59733,10,10/03/2024,,,297,39863,10,1,/data/lcd?lcdid=39863&ver=10
56827,17,11/01/2019,,,297,35075,35,1,/data/lcd?lcdid=35075&ver=35
58893,19,10/31/2023,,,297,39139,5,1,/data/lcd?lcdid=39139&ver=5
59311,10,06/07/2023,,,297,39513,4,1,/data/lcd?lcdid=39513&ver=4
59973,7,09/04/2025,,,297,40048,6,1,/data/lcd?lcdid=40048&ver=6
58282,14,05/25/2021,58807,4,391,,,1,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=58807:2
58282,14,05/25/2021,58809,4,391,,,2,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=58809:2
58282,14,12/15/2020,,,391,38745,17,3,/data/lcd?lcdid=38745&ver=17
58918,90,05/16/2022,59122,15,368,,,1,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=59122:9
58918,90,11/13/2024,59123,28,368,,,2,/data/article?articleid=59123&ver=28
58918,90,07/21/2023,59492,7,368,,,3,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=59492:6
58918,90,11/29/2021,,,368,34519,33,4,/data/lcd?lcdid=34519&ver=33
58918,90,05/17/2022,,,368,39366,11,5,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39366:6
