last_updated,lcd_id,lcd_version,r_article_id,r_article_version,r_contractor_id,r_lcd_id,r_lcd_version,related_num,url
02/02/2023,39075,15,59327,5,297,,,2,/data/article?articleid=59327&ver=5
05/23/2024,39075,15,,,297,39862,7,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39862:5
07/26/2019,33627,90,56758,62,297,,,2,/data/article?articleid=56758&ver=62
07/26/2019,33619,25,56787,24,297,,,1,/data/article?articleid=56787&ver=24
07/16/2025,39314,12,59105,36,297,,,1,/data/article?articleid=59105&ver=36
07/16/2025,39314,12,60252,3,297,,,2,/data/article?articleid=60252&ver=3
07/16/2025,39297,7,59101,28,297,,,1,/data/article?articleid=59101&ver=28
07/16/2025,39297,7,60253,3,297,,,2,/data/article?articleid=60253&ver=3
07/25/2019,33621,16,56549,13,297,,,1,/data/article?articleid=56549&ver=13
07/25/2019,33567,28,56726,43,297,,,1,/data/article?articleid=56726&ver=43
02/18/2021,38571,9,58294,8,297,,,2,/data/article?articleid=58294&ver=8
12/17/2021,38571,9,58959,2,297,,,3,/data/article?articleid=58959&ver=2
09/02/2020,38667,4,58152,13,297,,,1,/data/article?articleid=58152&ver=13
09/02/2020,38667,4,58327,2,297,,,2,/data/article?articleid=58327&ver=2
06/05/2019,38014,9,56248,12,297,,,1,/data/article?articleid=56248&ver=12
06/05/2019,38014,9,56529,4,297,,,2,/data/article?articleid=56529&ver=4
07/25/2019,33630,28,56548,20,297,,,1,/data/article?articleid=56548&ver=20
02/05/2016,33614,27,54858,3,297,,,1,https://localcoverage.cms.gov/mcd_archive/view/article.aspx?articleInfo=54858:2
07/26/2019,33614,27,56617,26,297,,,2,/data/article?articleid=56617&ver=26
09/06/2019,33399,15,57030,11,297,,,1,/data/article?articleid=57030&ver=11
07/16/2025,38367,32,56797,18,297,,,1,/data/article?articleid=56797&ver=18
07/16/2025,38367,32,60254,3,297,,,2,/data/article?articleid=60254&ver=3
12/28/2018,37475,18,55672,26,297,,,2,/data/article?articleid=55672&ver=26
12/28/2018,37475,18,56252,2,297,,,3,/data/article?articleid=56252&ver=2
05/21/2025,37606,18,56793,35,297,,,1,/data/article?articleid=56793&ver=35
05/21/2025,37606,18,59984,3,297,,,2,/data/article?articleid=59984&ver=3
02/19/2021,35074,33,58628,5,297,,,1,/data/article?articleid=58628&ver=5
02/19/2021,35074,33,56767,29,297,,,2,/data/article?articleid=56767&ver=29
02/07/2020,38387,8,57967,2,297,,,1,/data/article?articleid=57967&ver=2
02/07/2020,38387,8,57092,25,297,,,2,/data/article?articleid=57092&ver=25
01/26/2024,38623,21,58116,29,297,,,1,/data/article?articleid=58116&ver=29
01/26/2024,38623,21,59659,3,297,,,2,/data/article?articleid=59659&ver=3
07/26/2019,33563,27,56766,25,297,,,1,/data/article?articleid=56766&ver=25
09/04/2025,40048,6,59973,7,297,,,1,/data/article?articleid=59973&ver=7
09/04/2025,40048,6,60257,3,297,,,2,/data/article?articleid=60257&ver=3
06/07/2023,39513,4,59311,10,297,,,1,/data/article?articleid=59311&ver=10
06/07/2023,39513,4,59451,3,297,,,2,/data/article?articleid=59451&ver=3
10/31/2023,39139,5,58893,19,297,,,1,/data/article?articleid=58893&ver=19
10/31/2023,39139,5,59578,3,297,,,2,/data/article?articleid=59578&ver=3
04/16/2024,39139,5,,,297,39827,5,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39827:3
10/03/2024,39863,10,59733,10,297,,,1,/data/article?articleid=59733&ver=10
10/03/2024,39863,10,59929,4,297,,,2,/data/article?articleid=59929&ver=4
06/16/2015,36236,18,54403,2,269,,,1,/data/article?articleid=54403&ver=2
09/06/2019,36236,18,57024,16,297,,,2,/data/article?articleid=57024&ver=16
11/01/2019,33573,25,56826,12,297,,,1,/data/article?articleid=56826&ver=12
04/02/2014,33585,34,52849,36,297,,,1,/data/article?articleid=52849&ver=36
04/02/2014,33557,48,52850,56,297,,,1,/data/article?articleid=52850&ver=56
02/02/2022,33559,29,56737,31,297,,,1,/data/article?articleid=56737&ver=31
02/02/2022,33559,29,58889,5,297,,,2,/data/article?articleid=58889&ver=5
05/23/2024,33559,29,,,297,39862,7,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39862:5
07/25/2019,33560,36,56743,26,297,,,1,/data/article?articleid=56743&ver=26
09/09/2016,33558,33,55257,6,297,,,1,/data/article?articleid=55257&ver=6
07/25/2019,33558,33,56544,28,297,,,2,/data/article?articleid=56544&ver=28
09/23/2024,33558,33,,,297,37244,41,3,/data/lcd?lcdid=37244&ver=41
04/02/2014,33393,10,52830,9,308,,,1,/data/article?articleid=52830&ver=9
03/08/2023,39128,15,58883,6,391,,,1,/data/article?articleid=58883&ver=6
03/08/2023,39128,15,59277,4,391,,,2,/data/article?articleid=59277&ver=4
03/08/2023,39128,15,,,391,39127,23,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39127:22
07/08/2026,40140,6,60161,4,228,,,1,/data/article?articleid=60161&ver=4
07/08/2026,40140,6,60439,4,228,,,2,/data/article?articleid=60439&ver=4
07/10/2026,40249,5,60274,4,143,,,1,/data/article?articleid=60274&ver=4
07/10/2026,40249,5,60463,5,143,,,2,/data/article?articleid=60463&ver=5
07/01/2026,40249,5,,,143,40248,2,3,/data/lcd?lcdid=40248&ver=2
07/08/2026,40062,6,60155,6,358,,,1,/data/article?articleid=60155&ver=6
07/08/2026,40062,6,60447,3,356,,,2,/data/article?articleid=60447&ver=3
07/08/2026,40060,6,60152,8,365,,,1,/data/article?articleid=60152&ver=8
07/08/2026,40060,6,60446,3,364,,,2,/data/article?articleid=60446&ver=3
07/08/2026,40058,7,60146,6,391,,,1,/data/article?articleid=60146&ver=6
07/08/2026,40058,7,60438,5,391,,,2,/data/article?articleid=60438&ver=5
01/13/2017,36485,23,55435,2,228,,,1,/data/article?articleid=55435&ver=2
01/13/2017,36485,23,,,228,36952,4,2,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=36952:3
08/08/2019,36485,23,56881,10,228,,,3,/data/article?articleid=56881&ver=10
08/25/2023,39427,7,59529,10,238,,,1,/data/article?articleid=59529&ver=10
08/25/2023,39427,7,59519,3,238,,,2,/data/article?articleid=59519&ver=3
08/14/2015,36113,25,54607,2,228,,,1,/data/article?articleid=54607&ver=2
08/29/2019,36113,25,56983,12,238,,,2,/data/article?articleid=56983&ver=12
08/14/2015,36113,25,,,228,36112,4,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=36112:3
03/25/2019,33952,20,56452,22,228,,,1,/data/article?articleid=56452&ver=22
05/28/2019,34573,31,56606,22,391,,,1,/data/article?articleid=56606&ver=22
06/19/2026,40187,3,60205,4,391,,,1,/data/article?articleid=60205&ver=4
06/19/2026,40187,3,60449,2,391,,,2,/data/article?articleid=60449&ver=2
03/11/2017,33610,70,55426,132,389,,,1,/data/article?articleid=55426&ver=132
04/04/2014,33610,70,52509,73,137,,,2,/data/article?articleid=52509&ver=73
