lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33417,40,395,12,1,04/05/2021
33417,40,396,12,1,04/05/2021
33417,40,378,13,1,04/05/2021
33417,40,379,13,1,04/05/2021
33417,40,380,13,1,04/05/2021
33417,40,381,13,1,04/05/2021
33420,41,391,12,1,02/25/2021
33420,41,394,12,1,02/25/2021
33420,41,392,12,1,02/25/2021
33420,41,395,12,1,02/25/2021
33420,41,393,12,1,02/25/2021
33420,41,396,12,1,02/25/2021
33420,41,374,13,1,02/25/2021
33420,41,378,13,1,02/25/2021
33420,41,375,13,1,02/25/2021
33420,41,379,13,1,02/25/2021
33420,41,376,13,1,02/25/2021
33420,41,380,13,1,02/25/2021
33420,41,377,13,1,02/25/2021
33420,41,381,13,1,02/25/2021
33422,45,394,12,1,12/29/2025
33422,45,395,12,1,12/29/2025
33422,45,396,12,1,12/29/2025
33422,45,378,13,1,12/29/2025
33422,45,379,13,1,12/29/2025
33422,45,380,13,1,12/29/2025
33422,45,381,13,1,12/29/2025
33423,58,391,12,1,06/20/2025
33423,58,394,12,1,06/20/2025
33423,58,392,12,1,06/20/2025
33423,58,395,12,1,06/20/2025
33423,58,393,12,1,06/20/2025
33423,58,396,12,1,06/20/2025
33423,58,374,13,1,06/20/2025
33423,58,378,13,1,06/20/2025
33423,58,375,13,1,06/20/2025
33423,58,379,13,1,06/20/2025
33423,58,376,13,1,06/20/2025
33423,58,380,13,1,06/20/2025
33423,58,377,13,1,06/20/2025
33423,58,381,13,1,06/20/2025
33428,53,391,12,1,07/23/2021
33428,53,394,12,1,07/23/2021
33428,53,392,12,1,07/23/2021
33428,53,395,12,1,07/23/2021
33428,53,393,12,1,07/23/2021
33428,53,396,12,1,07/23/2021
33428,53,374,13,1,07/23/2021
33428,53,378,13,1,07/23/2021
33428,53,375,13,1,07/23/2021
33428,53,379,13,1,07/23/2021
33428,53,376,13,1,07/23/2021
33428,53,380,13,1,07/23/2021
33428,53,377,13,1,07/23/2021
33428,53,381,13,1,07/23/2021
33431,59,394,12,1,09/12/2025
33431,59,395,12,1,09/12/2025
33431,59,396,12,1,09/12/2025
33431,59,378,13,1,09/12/2025
33431,59,379,13,1,09/12/2025
33431,59,380,13,1,09/12/2025
33431,59,381,13,1,09/12/2025
33436,38,394,12,1,11/10/2023
33436,38,395,12,1,11/10/2023
33436,38,396,12,1,11/10/2023
33436,38,378,13,1,11/10/2023
33436,38,379,13,1,11/10/2023
33436,38,380,13,1,11/10/2023
33436,38,381,13,1,11/10/2023
33438,47,394,12,1,07/12/2024
33438,47,395,12,1,07/12/2024
33438,47,396,12,1,07/12/2024
33438,47,378,13,1,07/12/2024
33438,47,379,13,1,07/12/2024
33438,47,380,13,1,07/12/2024
33438,47,381,13,1,07/12/2024
33444,42,394,12,1,12/23/2024
33444,42,395,12,1,12/23/2024
33444,42,396,12,1,12/23/2024
33444,42,378,13,1,12/23/2024
33444,42,379,13,1,12/23/2024
33444,42,380,13,1,12/23/2024
33444,42,381,13,1,12/23/2024
33445,79,391,12,1,10/17/2025
33445,79,394,12,1,10/17/2025
33445,79,392,12,1,10/17/2025
33445,79,395,12,1,10/17/2025
33445,79,393,12,1,10/17/2025
33445,79,396,12,1,10/17/2025
33445,79,374,13,1,10/17/2025
33445,79,378,13,1,10/17/2025
33445,79,375,13,1,10/17/2025
33445,79,379,13,1,10/17/2025
33445,79,376,13,1,10/17/2025
33445,79,380,13,1,10/17/2025
33445,79,377,13,1,10/17/2025
33445,79,381,13,1,10/17/2025
