article_id,article_version,hcpc_modifier_group,paragraph,last_updated
58609,7,1,,07/14/2026
52448,24,1,,07/14/2026
56549,13,1,,07/14/2026
56566,46,1,,07/14/2026
56726,43,1,,07/14/2026
56758,62,1,,07/14/2026
56787,24,1,,07/14/2026
56954,6,1,,07/14/2026
58814,12,1,&lt;p&gt;75580&lt;&sol;p&gt;,07/14/2026
59101,28,1,,07/14/2026
52420,64,1,,07/14/2026
52421,23,1,,07/14/2026
52423,84,1,,07/14/2026
52453,49,1,,07/14/2026
56747,29,1,,07/14/2026
56766,25,1,,07/14/2026
57020,6,1,,07/14/2026
57092,25,1,,07/14/2026
57431,14,1,,07/14/2026
57668,45,1,,07/14/2026
58116,29,1,,07/14/2026
58921,11,1,,07/14/2026
58963,11,1,,07/14/2026
59595,4,1,,07/14/2026
52379,10,1,,07/14/2026
52855,31,1,,07/14/2026
54548,36,1,,07/14/2026
55672,26,1,,07/14/2026
56248,12,1,,07/14/2026
56548,20,1,,07/14/2026
56617,26,1,,07/14/2026
56767,29,1,,07/14/2026
56793,35,1,,07/14/2026
56797,18,1,,07/14/2026
56867,45,1,,07/14/2026
57030,11,1,,07/14/2026
57826,37,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/14/2026
58152,13,1,,07/14/2026
58294,8,1,,07/14/2026
58745,21,1,,07/14/2026
52369,17,1,,07/14/2026
52849,36,1,,07/14/2026
52850,56,1,,07/14/2026
56544,28,1,,07/14/2026
56609,18,1,,07/14/2026
56737,31,1,,07/14/2026
56743,26,1,,07/14/2026
56826,12,1,,07/14/2026
57024,16,1,,07/14/2026
59733,10,1,,07/14/2026
56827,17,1,,07/14/2026
58893,19,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,07/14/2026
59311,10,1,,07/14/2026
59973,7,1,,07/14/2026
58282,14,1,,07/13/2026
58918,90,1,"&lt;p&gt;It is the provider&amp;#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note:&lt;&sol;strong&gt; The modifier table is not an exhaustive list of coding related modifiers. Providers must append any additional modifiers necessary to accurately reflect the services rendered.&lt;&sol;p&gt;",07/10/2026
58917,101,1,"&lt;p&gt;It is the provider&amp;#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note:&lt;&sol;strong&gt; The modifier table is not an exhaustive list of coding related modifiers. Providers must append any additional modifiers necessary to accurately reflect the services rendered.&lt;&sol;p&gt;",07/10/2026
58812,81,1,,07/10/2026
58801,85,1,,07/10/2026
57778,59,1,,07/10/2026
56786,77,1,,07/10/2026
60146,6,1,,07/08/2026
60161,4,1,,07/08/2026
58747,65,1,,07/02/2026
58747,65,2,,07/02/2026
58747,65,3,,07/02/2026
58747,65,4,,07/02/2026
58747,65,5,,07/02/2026
58747,65,6,,07/02/2026
58747,65,7,,07/02/2026
58747,65,8,,07/02/2026
58747,65,9,,07/02/2026
58747,65,10,,07/02/2026
58747,65,11,,07/02/2026
58747,65,12,,07/02/2026
56452,22,1,,06/27/2026
56606,22,1,,06/27/2026
60462,3,1,,06/26/2026
53387,35,1,"&lt;p&gt;LT&lt;&sol;p&gt;
&lt;p&gt;RT&lt;&sol;p&gt;
&lt;p&gt;&amp;nbsp;&lt;&sol;p&gt;",06/26/2026
56748,31,1,,06/26/2026
56718,39,1,,06/26/2026
55239,65,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/24/2026
57187,39,1,,06/24/2026
56818,55,1,,06/22/2026
58713,13,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/19/2026
60217,4,1,,06/19/2026
60205,4,1,,06/19/2026
60215,4,1,,06/19/2026
53043,16,1,,06/19/2026
56157,19,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/18/2026
58774,24,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/18/2026
60306,3,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,06/18/2026
55703,27,1,,06/18/2026
57765,26,1,"&lt;p&gt;It is the provider&amp;#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note:&lt;&sol;strong&gt; The modifier table is not an exhaustive list of coding related modifiers. Providers must append any additional modifiers necessary to accurately reflect the services rendered.&lt;&sol;p&gt;",06/18/2026
59549,5,1,,06/18/2026
